Time,  0.00,  0.04,  0.09,  0.13,  0.17,  0.22,  0.26,  0.30,  0.35,  0.39,  0.43,  0.48,  0.52,  0.57,  0.61,  0.65,  0.70,  0.74,  0.78,  0.83,  0.87,  0.91,  0.96,  1.00
0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
5,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.03,  0.11,  0.22,  0.28,  0.22,  0.11,  0.03,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01,  0.03,  0.07,  0.12,  0.18,  0.20,  0.18,  0.12,  0.07,  0.03,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
15,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01,  0.02,  0.04,  0.08,  0.12,  0.15,  0.16,  0.15,  0.12,  0.08,  0.04,  0.02,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
20,  0.00,  0.00,  0.00,  0.00,  0.01,  0.01,  0.03,  0.05,  0.08,  0.11,  0.13,  0.14,  0.13,  0.11,  0.08,  0.05,  0.03,  0.01,  0.01,  0.00,  0.00,  0.00,  0.00,  0.00
25,  0.00,  0.00,  0.00,  0.01,  0.01,  0.02,  0.04,  0.06,  0.08,  0.10,  0.12,  0.13,  0.12,  0.10,  0.08,  0.06,  0.04,  0.02,  0.01,  0.01,  0.00,  0.00,  0.00,  0.00
30,  0.00,  0.00,  0.00,  0.01,  0.01,  0.03,  0.04,  0.06,  0.08,  0.10,  0.11,  0.11,  0.11,  0.10,  0.08,  0.06,  0.04,  0.03,  0.02,  0.01,  0.00,  0.00,  0.00,  0.00
35,  0.00,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.06,  0.08,  0.09,  0.10,  0.11,  0.10,  0.09,  0.08,  0.06,  0.04,  0.03,  0.02,  0.01,  0.01,  0.00,  0.00,  0.00
40,  0.00,  0.00,  0.01,  0.01,  0.02,  0.03,  0.05,  0.06,  0.08,  0.09,  0.10,  0.10,  0.10,  0.09,  0.08,  0.06,  0.05,  0.03,  0.02,  0.01,  0.01,  0.00,  0.00,  0.00
45,  0.00,  0.00,  0.01,  0.02,  0.02,  0.03,  0.05,  0.06,  0.07,  0.08,  0.09,  0.09,  0.09,  0.08,  0.07,  0.06,  0.05,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
50,  0.00,  0.00,  0.01,  0.02,  0.03,  0.04,  0.05,  0.06,  0.07,  0.08,  0.09,  0.09,  0.09,  0.08,  0.07,  0.06,  0.05,  0.04,  0.03,  0.02,  0.01,  0.01,  0.00,  0.00
55,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.05,  0.06,  0.07,  0.08,  0.08,  0.08,  0.08,  0.08,  0.07,  0.06,  0.05,  0.04,  0.03,  0.02,  0.01,  0.01,  0.00,  0.00
60,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.05,  0.06,  0.07,  0.07,  0.08,  0.08,  0.08,  0.07,  0.07,  0.06,  0.05,  0.04,  0.03,  0.02,  0.01,  0.01,  0.00,  0.00
65,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.05,  0.06,  0.07,  0.07,  0.08,  0.08,  0.08,  0.07,  0.07,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.01,  0.00,  0.00
70,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.05,  0.06,  0.06,  0.07,  0.07,  0.08,  0.07,  0.07,  0.06,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
75,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.05,  0.06,  0.06,  0.07,  0.07,  0.07,  0.07,  0.07,  0.06,  0.06,  0.05,  0.04,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
80,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.05,  0.05,  0.06,  0.07,  0.07,  0.07,  0.07,  0.07,  0.06,  0.05,  0.05,  0.04,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
85,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.05,  0.05,  0.06,  0.06,  0.07,  0.07,  0.07,  0.06,  0.06,  0.05,  0.05,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
90,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.05,  0.05,  0.06,  0.06,  0.07,  0.07,  0.07,  0.06,  0.06,  0.05,  0.05,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
95,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.05,  0.05,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.05,  0.05,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
100,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.04,  0.05,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.05,  0.05,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
105,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.04,  0.05,  0.05,  0.06,  0.06,  0.06,  0.06,  0.06,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
110,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.04,  0.05,  0.05,  0.06,  0.06,  0.06,  0.06,  0.06,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
115,  0.00,  0.01,  0.02,  0.02,  0.03,  0.04,  0.04,  0.05,  0.05,  0.06,  0.06,  0.06,  0.06,  0.06,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
120,  0.00,  0.01,  0.01,  0.02,  0.03,  0.04,  0.04,  0.05,  0.05,  0.05,  0.06,  0.06,  0.06,  0.05,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
125,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.05,  0.05,  0.05,  0.06,  0.06,  0.06,  0.05,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
130,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.01,  0.01,  0.00
135,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
140,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
145,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.04,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
150,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
155,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
160,  0.00,  0.01,  0.01,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
165,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.04,  0.04,  0.04,  0.04,  0.05,  0.05,  0.05,  0.05,  0.04,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
170,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.05,  0.05,  0.05,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
175,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.05,  0.05,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
180,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
185,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
190,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
195,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
200,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00
205,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00
210,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00
215,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00
220,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.01,  0.00
225,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
230,  0.00,  0.01,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
235,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.04,  0.04,  0.04,  0.04,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
240,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.04,  0.04,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
245,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
250,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
255,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
260,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
265,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
270,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
275,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
280,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
285,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
290,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.02,  0.01,  0.01,  0.00,  0.00
295,  0.00,  0.00,  0.01,  0.01,  0.02,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.01,  0.00,  0.00
300,  0.00,  0.00,  0.01,  0.01,  0.01,  0.02,  0.02,  0.02,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.03,  0.02,  0.02,  0.02,  0.01,  0.01,  0.01,  0.00,  0.00
